#HDR:lifnr,matnr,maktx
"0000501183","1-02-0741-5012","O'RING 2-016"
"0000501183","1-02-1124-5012","O'RING 2-031"
"0000501183","1-02-1152-5012","O'RING 2-014"
"0000501183","1-02-1163-5012","O'RING 2-125"
"0000501183","1-02-1169-5012","O'RING 2-126"
"0000501183","1-02-1173-5012","O'RING 2-127"
"0000501183","1-02-1224-5012","O'RING 2-223"
"0000501183","1-02-1334-5012","O'RING 2-019"
"0000501183","1-02-1433-5012","O'RING 2-022"
"0000501183","1-02-1444-5012","O'RING 2-120"
"0000501183","1-02-1636-5012","O'RING 2-320"
"0000501183","1-02-1779-5012","O'RING 2-027"
"0000501183","1-03-0608-5012","O'RING 2-119"
"0000501183","1-03-0614-5012","O'RING 2-133"
"0000501183","1-05-0056-5012","O'RING 2-015"
"0000501183","1-05-0093-5012","O'RING 2-218"
"0000501183","1-05-0163-5012","O'RING 2-008"
"0000501183","1-05-0331-5012","O'RING 2-013"
"0000501183","1-05-0740-5012","O'RING 2-028"
"0000501183","1-05-0763-5012","O'RING 2-023"
"0000501183","1-05-0792-5012","O'RING 2-030"
"0000501183","1-05-0865-5012","O'RING 2-130"
"0000501183","1-05-1027-5012","O'RING 2-202"
"0000501183","1-05-1283-5012","O'RING 2-222"
"0000501183","1-06-0035-5012","O'RING 2-123"
"0000501183","1-06-0120-5012","O'RING 2-006"
"0000501183","1-06-0344-5012","O'RING 2-025"
"0000501183","1-06-0530-5012","O'RING 2-116"
"0000501183","1-06-0616-5012","O'RING 2-132"
"0000501183","1-06-0617-5012","O'RING 2-122"
"0000501183","1-06-0619-5012","O'RING 2-020"
"0000501183","1-07-0023-5012","O'RING 2-024"
"0000501183","1-07-0054-5012","O'RING 2-227"
"0000501183","1-07-0081-5012","O'RING 2-010"
"0000501183","1-07-0082-5012","O'RING 2-113"
"0000501183","1-07-0139-5012","O'RING 2-211"
"0000501183","1-07-0198-5012","O'RING 2-037"
"0000501183","1-07-0291-5012","O'RING 2-026"
"0000501183","1-07-0294-5012","O'RING 2-128"
"0000501183","1-07-0319-5012","O'RING 2-177"
"0000501183","1-07-0323-5012","O'RING 2-157"
"0000501183","1-07-0620-5012","O'RING 2-042"
"0000501184","2-08-0975-5051","REPISA RECTANGULAR"
"0000501184","2-08-0976-5051","REJILLA TRIANGULAR"
"0000501193","1-02-1159-5M5A","SELLO BASE MO8-SP-01"
"0000501193","1-05-0089-5M5A","SELLO REDONDO TAPON CESPOL TV-016"
"0000501193","1-05-1320-5M5A","SELLO TAPON CESPOL TV-030"
"0000501193","1-06-0044-5M5A","SELLO TUERCA F-2"
"0000501193","1-07-0040-5M5A","EMPAQUE P/PLATO H-600"
"0000501208","1-05-1560-5003","ETIQUETA AUTOADHERIBLE ANTIBACT. P TV-10"
"0000501208","1-05-1561-5003","ETIQUETA AUTOADHERIBLE ANTIBACT P TV-120"
"0000501208","1-05-1633-5003","ETIQUETA ANTIBACTERIAL TV-100"
"0000501208","1-06-0730-5003","ETIQUETA ANTIBACT. Y AHORRADOR D/AGUA P"
"0000501208","1-06-0731-5003","ETIQUETA AUTOADHERIBLE ANTIBACT. P FLUX"
"0000501208","1-06-0732-5003","ETIQUETA ANTIBACTERIAL FLUX. PALANCA"
"0000501208","1-06-0733-5003","ETIQUETA AUTOADHERIBLE ANTIBACT. P FLUX"
"0000501208","1-06-0744-5003","ETIQUETA AUTOADHERIBLE P MINGITORIO LIBR"
"0000501208","1-08-0831-5003","ETIQUETA CONSUMO DE ENERGIA MB-1010"
"0000501208","1-08-0832-5003","ETIQUETA CONSUMO DE ENERGIA MB-1011"
"0000501208","1-08-0833-5003","ETIQUETA CONSUMO DE ENERGIA MB-1012"
"0000501223","1-04-0001-5025","BASE COLADERA 444"
"0000501223","1-04-0002-5025","ANILLO COLADERA 444, 444X"
"0000501223","1-04-0004-5025","BASE S/CUERDA P/COLADERA 444X"
"0000501223","1-04-0005-5025","BASE S/CUERDA P/COLADERA 446X"
"0000501223","1-04-0006-5025","ANILLO P/COLADERA 446X"
"0000501223","1-04-0025-5025","BASE C/CUERDA P/COLADERA 2514,2584"
"0000501223","1-04-0026-5025","CAMPANA P/COLADERA 2514,2584"
"0000501223","1-04-0027-5025","REJILLA P/COLADERA 2514"
"0000501223","1-04-0046-5025","BASE C/CUERDA P/COLADERA 27"
"0000501223","1-04-0047-5025","BASE C/CUERDA P/COLADERA 28"
"0000501223","1-04-0064-5025","VÁLVULA P/AGUAS NEGRAS 1176"
"0000501223","1-04-0065-5025","TAPA EXTERIOR P/VÁLVULA 1176"
"0000501223","1-04-0073-5025","CUPULA P/COLADERA 444,444X"
"0000501223","1-04-0078-5025","CUPULA P/COLADERA 446X"
"0000501223","1-04-0193-5025","CUERPO VAVULA PVC V.D.1176"
"0000501223","1-04-0202-5025","BRIDA ANILLO VALVULA DRENAJE V.D.1176"
"0000501223","1-06-0938-5025","BRIDA PARA SOPORTE DE TAZA SUSPENDIDA"
"0000501223","1-06-0939-5025","SOPORTE DERECHO DE TAZA SUSPENDIDA"
"0000501223","1-06-0940-5025","SOPORTE IZQUIERDO DE TAZA SUSPENDIDA"
"0000501227","0-03-0006-5000","TUBO LAT. D. 1/2""X0.049"""
"0000501227","0-03-0010-5000","TUBO LAT. S.  0.676"" INT.X 0.037"""
"0000501227","0-03-0011-5000","TUBO LAT. CUAD. S. 3/4"" X 3/4"" X 0.035"""
"0000501227","0-03-0014-5000","TUBO LAT. S. 3/4"" X 0.062"""
"0000501227","0-03-0023-5000","TUBO LAT. S Ø1.250"" EXT. X 0.031"""
"0000501227","0-03-0036-5000","TUBO LAT. S. 0.812"" X 0.100"""
"0000501227","0-03-0040-5000","TUBO CUADRADO LATON 1"" X 1/16"""
"0000501230","2-08-1063-5050","VALVULA DOSIFICADORA D JABON LIQUIDO"
"0000501230","2-08-1071-5051","KIT SECADOR MANOS SENSOR TURBO AC. INOX."
"0000501230","2-08-1107-5050","KIT DOSIF JABON DE ESPUMA ELECT. DE BAT."
"0000501230","2-08-1108-5030","VALVULA DOSIFICADORA ESPUMA MB-1101"
"0000501230","3-08-1008-5050","SECADOR DE MANOS C/SENSOR ELECTRÓNICO"
"0000501230","3-08-1415-5050","SECADOR DE MANOS C/SENSOR ELECTRÓNICO"
"0000501230","3-08-1438-5050","SECADOR DE MANOS C/BOTON"
"0000501230","3-08-1472-5050","SECADOR D MANOS C SENSOR TURBO ELEC B"
"0000501230","3-08-1472-5051","SECADOR D MANOS C SENSOR TURBO ELEC AI"
"0000501230","3-08-1491-5050","KIT DOSIF JABON LIQUIDO ELEC BAT ALUMINI"
"0000501230","3-08-1671-5050","KIT DOSIF JAB LIQ ELEC BAT ALUMINIO ALTM"
"0000501230","RB-844","CARCASA DE SECADOR DE MANOS MB-1012-AI"
"0000501231","1-03-0904-5M15","ANCLA P/TABLAROCA BASE PRINCIPAL"
"0000501231","1-05-0886-5M11","REDUCTOR DE VELOCIDAD"
"0000501231","1-05-1056-5M11","PLATO P/RESORTE"
"0000501231","1-05-1057-5M11","PLACA INFERIOR P/SUJECIÓN"
"0000501231","1-05-1059-5M11","CHAROLA P/CERRADURA"
"0000501231","1-05-1060-5M11","CERROJO PARA CERRADURA"
"0000501231","1-05-1692-5M11","BRIDA 2"" NPT"
"0000501231","2-05-0024-5M11","TAPA Y PLACA C.I.G."
"0000501231","2-05-0382-5M11","MAMPARA SOLDADA 2"
"0000501231","2-05-0383-5M11","MAMPARA SOLDADA 3"
"0000501231","2-05-0385-5M18","TAPA ANTIDERRAPANTE SOLDADA"
"0000501231","2-05-0390-5M11","MAMPARA CHICA SOLDADA 5"
"0000501231","2-05-0391-5M11","MAMPARA GRANDE SOLDADA"
"0000501231","2-05-0392-5M11","PLACA DESVIADORA SOLDADA 7"
"0000501231","2-05-0407-5M11","TAPA INTERCEPTORA DE GRASA SOLDADA CHICA"
"0000501231","2-05-0432-5M18","CAJA SOLDADA P/IG-40"
"0000501231","2-05-0444-5M11","CANASTA RECOL. DE SÓL. C/AGARR. IG-40"
"0000501231","2-05-0446-5M11","CANASTA RECOL. DE SÓL. C/AGARR. IG-20"
"0000501231","2-05-0485-5M18","CAJA ARMADA CON MARCO P/IG-20"
"0000501231","2-05-0486-5M18","TAPA INTERCEPTORA DE GRASAS SOLD.P/IG-20"
"0000501231","2-05-0562-5M11","CANASTA RECOLECTORA DE SOLIDOS"
"0000501231","2-05-0563-5M18","TAPA INTERCEPTORA DE GRASAS SOLDADA"
"0000501231","2-05-0581-5M11","MARCO CAJA IG-20-P"
"0000501231","2-05-0581-5M18","MARCO CAJA IG-20-P"
"0000501232","0-80-0931-5000","BANDA DE LIJA R-88 GRANO 180"
"0000501232","0-80-0933-5000","BANDA DE LIJA SCOTCH COLOR VERDE"
"0000501232","0-80-1359-5000","BANDA-LIJA 2X17 3/4"" ZK713 X grano 120"
"0000501232","0-80-1360-5000","BANDA-LIJA 4""X118"" KK511J P80 (VSM)"
"0000501232","0-80-1361-5000","BANDA-LIJA 6""X48"" Zk713 X grano 120"
"0000501232","0-80-1362-5000","BANDA-LIJA 4""X118"" Zk713 X grano 100"
"0000501232","0-80-1364-5000","BANDA-LIJA 4""X118"" kk11j grano 240"
"0000501232","0-80-1365-5000","BANDA-LIJA 4""X118"" kk511j grano 320"
"0000501232","0-80-1366-5000","BANDA-LIJA 4""X118"" kk511j grano 400"
"0000501232","0-80-1368-5000","DISCO AUTOADHERIBLE 8 ZK713 X grano 120"
"0000501232","0-80-1370-5000","BANDA LIJA G40 ZK713X (ZIRCONIA) 4""X11"
"0000501232","0-80-1495-5000","BANDA DE LIJA KK511J 2"" X 18"" GRANO 240"
"0000501232","0-80-1496-5000","BANDA DE LIJA KK511J 2"" X 18"" GRANO 320"
"0000501237","2-02-1093-5050","CABEZAL RETRACTIL DOBLE CHORRO P/ COCINA"
"0000501242","MB-1373","CTRA HORIZ P TINA PVC CR"
"0000501242","MB-1374","FALDON P TINA FRONTAL B"
"0000501242","MB-1376","COLADERA REJ CUAD 1B"
"0000501242","MB-2188","JUNTA CONEX TUBO-WC"
"0000501242","MB-223","BRIDA P MING"
"0000501242","MB-226","CONECTOR CESPOL HULE 38MM"
"0000501242","MB-2287","JUNTA CONEX TUBO-WC"
"0000501242","MB-2333","SIFON PLATO DUCHA"
"0000501242","MB-936","CTRAREJ FREG PLASTICO"
"0000501242","RB-506","CONECT CESPOL 2""X1 1/4"
"0000501357","0-80-0128-5000","PERCLOROETILENO"
"0000501357","0-80-0548-5000","SOLVENTE XILOL"
"0000501378","S11100012E05","Boton de accionamiento doble descarga"
"0000501378","S11100012E55","Boton  de accionamiento una sola descarg"
"0000501378","S11100022E05","Palanca metalica R Y T  A5710"
"0000501378","S11100032E05","EMPAQUE ESPONJOSO P WC"
"0000501378","S11100042E05","KIT DE TORNILLOS P SUJECION DE TANQUE"
"0000501378","S11100052E05","FILTRO P VALVULA DE ADMISION  P WC"
"0000501378","S11100062E05","Sapo para  valvula A2101"
"0000501378","S11100072E05","Empaque silicon para A2411"
"0000501378","S11100082E05","Empaque  negro interno  p/A1260"
"0000501378","S11100092E05","Brazo  p/valv admision  A1260"
"0000501378","S11100122E05","Boton ovalado para TQO A3624 R&T"
"0000501378","S11700012E02","Valvula de admision y descarga"
"0000501378","S11700012E05","Actuador P/ valvula de descarga (Obs)"
"0000501378","S11700022E02"," KIT de valvulas  tipo sapo"
"0000501378","S11700032E02"," KIT de valvulas  2"" A2423"
"0000501378","S11700042E02","KIT DE VALVULAS 3"" A2417"
"0000501378","S15100012E05","Chapeton crom p/rebosadero LV'S  ( ZH15)"
"0000501422","1-08-0815-5050","CTRA P DIAGRAGMA MINGITORIO LIBRE D AGUA"
"0000501422","1-08-0816-5050","CTRATUERCA P DIAGRAGMA MING LIBRE D AGUA"
"0000501422","1-08-0817-5050","LLAVE P DIAFRAGMA D MING LIBRE DE AGUA"
"0000501422","2-08-1027-5050","DIAFRAGMA PARA MINGITORIO LIBRE DE AGUA"
"0000501422","C-MGS","CTRA P DIAFR MING LIBRE D AGUA"
"0000501422","CT-MGS","CTRATUERCA P DIAFR MING LIBRE D AGUA"
"0000501422","D-MGS","DIAFR P MING LIBRE D AGUA"
"0000501422","LL-MGS","LLAV P DIAFR D MING LIBRE D AGUA"
"0000501422","P-MGS","PASTILLA DEODOR P MING LIBRE D AGUA"
"0000501432","REC-01","REG BR Y CHAP"
"0000501432","REC-SP-01","REG BR Y CHAP ANTICAL SPACIO"
"0000501434","1-00-0127-5010","BOLSA POLIFOAM 10 X 10 CMS."
"0000501434","1-00-0140-5010","BOLSA POLIETILENO 38 X 86 CMS. CAL. 150"
"0000501434","1-00-0290-5010","BOLSA POLIETILENO 15CM. CAL.500"
"0000501434","1-00-0313-5010","BOLSA DE POLIETILENO 45 X 65 CM."
"0000501434","1-00-0384-5010","BOLSA POLIETILENO CAL. 150 DE 15 X 20 CM"
"0000501434","1-00-0385-5010","BOLSA POLIETILENO CAL. 150 30 X 40 CM."
"0000501434","1-00-0399-5010","BOLSA POLIETILENO ALTA DENSIDAD 15X20 CM"
"0000501434","1-00-0400-5010","BOLSA POLIETILENO ALTA DENSIDAD 30X40cm"
"0000501434","1-00-0412-5010","BOLSA DE POLIETILENO  DE 40x60CM"
"0000501434","1-00-0450-5010","BOLSA POLIETILENO BAJA DENSIDAD 19x93 CM"
"0000501434","1-00-0490-5010","BOLSA D/POLIETILENO IMPRESA HVX 18X25 cm"
"0000501434","1-00-0491-5010","BOLSA D/POLIETILENO IMPRESA HVX 25X35 cm"
"0000501437","0-80-0243-5000","LIMPIADOR ABRASIVO"
"0000501450","0-80-0233-5000","ACIDO SULFURICO"
"0000501468","S14100112E13","Codo de descarga para ming. secos(O)"
"0000501470","1-02-0427-5012","O'RING 2-029"
"0000501470","1-02-0443-5008","EMPAQUE HULE VAL-VEX II"
"0000501470","1-02-0843-5008","EMPAQUE HULE DESAGÜE TINA"
"0000501470","1-02-0900-5008","EMPAQUE P/SALIDA ELITE"
"0000501470","1-02-1855-5008","SEPARADOR DE VARILLA CON BOTON"
"0000501470","1-02-1867-5008","EMPAQUE PARA TAPA ACUEDUCTO"
"0000501470","1-02-1889-5008","EMPAQUE TIPO DIAFRAGMA P/PUSH DE TINA"
"0000501470","1-02-2020-5008","EMPAQUE AMORTIGUADOR"
"0000501470","1-02-2038-5008","EMPAQUE DE NEOPRENO"
"0000501470","1-02-2217-5008","EMPAQUE PARA SALIDA VERTIKA"
"0000501470","1-02-2251-5008","EMPAQUE PARA SALIDA VERTIKA E-3007"
"0000501470","1-02-2267-5008","EMPAQUE PARA MONOM. A PARED E-3011"
"0000501470","1-02-2315-5008","EMPAQUE CONICO P/MONOMANDO E-3009"
"0000501470","1-02-2391-5008","EMPAQUE P/NUDO E-3009 / E-3010"
"0000501470","1-02-2484-5008","EMPAQUE P/SAL. DE LAV. GIRATORIAS 4"""
"0000501470","1-02-2589-5008","EMPAQUE P/TAPA MONOM.ACUEDUCTO E-910"
"0000501470","1-02-2687-5008","SELLO REDONDO TORNILLO E-300"
"0000501470","1-02-2702-5008","EMPAQUE CONICO P/SELLO SALIDA ELITE"
"0000501470","1-02-2838-5008","EMPAQUE PARA MEZCLADORA ULTRA"
"0000501470","1-03-1236-5008","EMPAQUE BASE JABONERA JS-168"
"0000501470","1-04-0195-5008","SELLO VALVULA PVC"
"0000501470","1-05-0268-5008","SELLO BOQUILLA ECONOMIZADORA TV-105"
"0000501470","1-05-0865-5012","O'RING 2-130"
"0000501470","1-05-1027-5012","O'RING 2-202"
"0000501470","1-05-1686-5008","EMPAQUE P/ CHAPETON SALIDA DE TINA SPIRA"
"0000501470","1-05-1691-5008","SELLO CHAPETON DESLIZABLE E-700"
"0000501470","1-05-1795-5008","EMPAQUE PLANO P SPUD DE PUSH DE MING."
"0000501470","1-05-1796-5008","EMPAQUE PLANO P TCA. DE CPO. DE MING."
"0000501470","1-05-2011-5008","SELLO PORTACARTUCHO 40mm"
"0000501470","1-06-0739-5008","EMPAQUE SPUD 38 mm"
"0000501470","1-06-0877-5008","SELLO PARA DIFUSOR DE FLUJO"
"0000501470","1-06-0879-5008","EMPAQUE DE HULE ø1.75"""
"0000501470","1-06-0941-5008","SELLO REDONDO TCA. 38 mm"
"0000501470","1-06-1077-5008","SELLO PARA PERNO ACCIONADOR FLUXO. ELEC."
"0000501470","1-07-0455-5016","ANTICALCAREO GRIS"
"0000501470","1-07-0552-5008","EMPAQUE PARA REGADERA VERTIKA"
"0000501470","1-07-0863-5008","SELLO CABEZAL RM-5"
"0000501470","1-09-0888-5008","EMPAQUE PARA CHAPETON REDONDO ALTMANS"
"0000501470","1-09-0890-5008","EMPAQUE PARA SALIDA AL-M-1000"
"0000501470","1-09-0914-5008","EMPAQUE PARA MANERAL MAGNA II ALTMANS"
"0000501470","1-09-0968-5008","EMPAQUE PARA CUERPO ""T"" ALTMANS"
"0000501474","2-08-1028-5006","CODO Y TUERCA DE DESALOJO"
"0000501476","2-08-0875-5054","JABONERA DE REJILLA SEMICIRCULAR DOBLE"
"0000501478","1-03-0555-5016","REPISA VIDRIO BLANCO 45 X 1 CMS."
"0000501478","1-03-0808-5016","REPISA VIDRIO BLANCO 60 X 1 CM"
"0000501478","1-03-0910-5016","BASE JABONERA DE CRISTAL"
"0000501478","1-03-0943-5016","BASE REPISA DE CRISTAL"
"0000501522","1-05-1528-5006","CODO 45° PVC HIDRAULICO CEMENTAR 1/2"""
"0000501528","S03-0002","MANTA DE CIELO SVX-0002"
"0000501528","S03-0323","BRAMANTE SVX-0323"
"0000501543","1-04-0040-5025","BASE C/CUERDA P/COLADERA 25,26"
"0000501563","1-02-1819-5050","TUERCA TIPO MARIPOSA CDA. 10-24"
"0000501563","1-03-1063-5050","TORNILLO AUTORROSCANTE 8-32 x 3/8"" LONG."
"0000501563","1-05-1682-5013","OPRESOR 8-32 UNC 2A X 0.18 PUNTA CONICA"
"0000501563","1-05-1682-5050","OPRESOR 8-32 UNC 2A X 0.18 PUNTA CONICA"
"0000501563","1-05-1905-5050","TORNILLO ALLEN 8-32 UNC x 1/4 LONG."
"0000501564","1-02-1985-5050","CARTUCHO GRAN CAUDAL 25 MM"
"0000501564","1-07-0537-5050","CARTUCHO 4V"
"0000501564","1-07-0547-5050","CARTUCHO DE ALTO FLUJO"
"0000501564","2-02-0370-5050","CARTUCHO SH-370 MONOMANDO GMD"
"0000501564","2-02-0373-5050","CARTUCHO MONOMANDO FREGADERO G-12"
"0000501564","2-02-0958-5050","CARTUCHO P/MONOMANDO INTERMEDIA"
"0000501564","2-02-1045-5050","CARTUCHO DE 35mm SIN DISTRIBUIDOR"
"0000501564","2-02-1057-5050","CART. MONOM. DE LAVABO ECOLOGICO 2 PASOS"
"0000501564","2-02-1131-5050","CARTUCHO DE 35 mm JOYSTICK"
"0000501564","2-05-0364-5050","CARTUCHO BALANCEO PRESIÓN PB-40 CD"
"0000501564","2-05-0365-5050","CARTUCHO MONOM.REGADERAS E-40 AZ CD"
"0000501565","1-02-0754-5050","CUERPO SALIDA MONOMANDO FREGADERO"
"0000501565","1-02-0754-5054","CUERPO SALIDA E-34"
"0000501569","0-80-1402-5000","THERMOFIT NEGRO Ø1/4 ROLLO 100m"
"0000501569","0-80-1403-5000","THERMOFIT NEGRO Ø3/16 ROLLO 100m"
"0000501572","2-08-1032-5030","KIT ASIENTO SIN TAPA AF-1"
"0000501572","2-08-1087-5006","KIT DE TORNILLOS DE SUJ. P ASIENTO AF-1"
"0000501572","AF-1","ASIENTO STAP AB TFLUX LRG ANTIBAC B"
"0000501577","2-08-1030-5030","KIT ASIENTO PLUS CON TAPA AT-1"
"0000501577","2-08-1031-5030","KIT ASIENTO CON TAPA AT-2"
"0000501577","2-08-1047-5031","KIT ASIENTO CON TAPA AT-1 MARFIL"
"0000501577","2-08-1085-5006","KIT DE TORNILLOS DE SUJ. P ASIENTO AT-1"
"0000501577","2-08-1086-5006","KIT DE TORNILLOS DE SUJ. P ASIENTO AT-2"
"0000501577","2-08-1091-5030","KIT ASIENTO REDONDO ATR-1 B"
"0000501577","2-08-1091-5031","KIT ASIENTO REDONDO ATR-1 B"
"0000501577","2-08-1115-5030","ASIENTO CIERRE LENTO ALARGADO AT-1C B"
"0000501577","2-08-1116-5030","ASIENTO CIERRE STANDARD  AT-2C B"
"0000501577","2-08-1117-5030","ASIENTO REDONDO ATR-1C B"
"0000501577","2-08-1181-5030","ASIENTO CIERRE LENT ANTIBACT."
"0000501580","2-05-0262-5050","CARTUCHO C/COMPENSADOR"
"0000501588","MB-1423","COLUMNA REGMAN ALTDES MZC TERMOST EXP CR"
"0000501588","MB-1445","MON TERMOST EXP REG FIJA Y REGMAN CR"
"0000501588","MB-1480","COLUMNA DE DUCHA REGMAN EXP CR"
"0000501588","MB-1673","GRIFERIA PARA TINA FREE STANDING"
"0000501588","MB-2317","MON EXPUESTO P REG Y TINA SCU CR"
"0000501588","MB-2318","MON EXPUESTO P REG Y TINA CEN CR"
"0000501588","SB-1129","DESVIADOR P/COLUMNA DE DUCHA MB-1480"
"0000501588","SB-1130","CHAPETON ECC H43 P/DUCHA MB-1480"
"0000501588","SB-1131","CARTUCHO D43 P/DUCHA MB-1480"
"0000501588","SB-1136","MANERAL P/ COLUMNA DE DUCHA MB-1480 CR"
"0000501590","2-05-0396-5050","CARTUCHO TERMOSTATICO GTDA"
"0000501590","2-05-0397-5050","MANERAL PARA VÁLVULA TERMOSTÁTICA"
"0000501606","0-80-0173-5000","LISTÓN NEGRO 83 MM X450 MTS"
"0000501606","0-80-0833-5000","LISTÓN NEGRO 60 MM. X 450 MTS."
"0000501606","1-00-0083-5003","ETIQUETA P/CODIGO BARRAS"
"0000501606","1-00-0155-5003","ETIQUETA P/NO. LOTE 2"" X 1"""
"0000501606","1-00-0436-5003","ETIQUETA DE 3"" x 4"""
"0000501606","1-00-0605-5003","ETIQ.BLANCA AUTOADHERIBLE 76x76 mm"
"0000501618","2-08-1088-5050","KIT REGADERA FLAT REDONDA"
"0000501618","2-08-1089-5050","KIT DE REGADERA FLAT CUADRADA H-3009"
"0000501618","2-08-1111-5050","REGADERA MANUAL RECTANGULAR CR"
"0000501618","2-08-1119-5050","KIT REGADERA CUADRADA 8” C/ANTICAL."
"0000501618","2-08-1120-5050","REG REDONDA 8” CHF ANTICAL"
"0000501618","2-08-1163-5050","H-3010  REGADERA  REDONDA ULTRAPLANA DE"
"0000501618","2-08-1164-5050","H-3011  REGADERA  CUADRADA ULTRAPLANA DE"
"0000501618","2-08-1169-5050","H-3302-C/B  REGADERA  REDONDA  MULTICHOR"
"0000501618","2-08-1170-5050","H-3302  REGADERA  REDONDA  MULTICHORRO"
"0000501618","2-08-1171-5050","H-3303-C/B  REGADERA  CUADRADA  MULTICHO"
"0000501618","2-08-1172-5050","H-3303  REGADERA  CUADRADA  MULTICHORRO"
"0000501653","1-02-0002-5012","O'RING 2-012"
"0000501653","1-02-0010-5012","O'RING 2-111"
"0000501653","1-02-0011-5012","O'RING 2-021"
"0000501653","1-02-0127-5012","O'RING 2-018"
"0000501653","1-02-0217-5012","O'RING 2-118"
"0000501653","1-02-0220-5012","O'RING 2-115"
"0000501653","1-02-0253-5012","O'RING 2-011"
"0000501653","1-02-0337-5012","O'RING 2-114"
"0000501653","1-02-0345-5012","O'RING 2-112"
"0000501653","1-02-0418-5012","O'RING 2-017"
"0000501653","1-02-0427-5012","O'RING 2-029"
"0000501653","1-02-0483-5012","O'RING 2-224"
"0000501653","1-02-0614-5012","O'RING 2-124"
"0000501653","1-02-0634-5012","O'RING 2-009"
"0000501653","1-02-0641-5012","O'RING 2-136"
"0000501653","1-02-0703-5012","O'RING 2-117"
"0000501653","1-02-0741-5012","O'RING 2-016"
"0000501653","1-02-1081-5012","O'RING 2-210"
"0000501653","1-02-1124-5012","O'RING 2-031"
"0000501653","1-02-1152-5012","O'RING 2-014"
"0000501653","1-02-1163-5012","O'RING 2-125"
"0000501653","1-02-1169-5012","O'RING 2-126"
"0000501653","1-02-1173-5012","O'RING 2-127"
"0000501653","1-02-1224-5012","O'RING 2-223"
"0000501653","1-02-1334-5012","O'RING 2-019"
"0000501653","1-02-1433-5012","O'RING 2-022"
"0000501653","1-02-1444-5012","O'RING 2-120"
"0000501653","1-02-1636-5012","O'RING 2-320"
"0000501653","1-02-1779-5012","O'RING 2-027"
"0000501653","1-02-1946-5008","SELLO PARA CONTRA PUSH"
"0000501653","1-02-2044-5012","O'RING 2-225"
"0000501653","1-02-2437-5012","O'RING 2-221 E1244"
"0000501653","1-03-0608-5012","O'RING 2-119"
"0000501653","1-03-0614-5012","O'RING 2-133"
"0000501653","1-05-0056-5012","O'RING 2-015"
"0000501653","1-05-0093-5012","O'RING 2-218"
"0000501653","1-05-0163-5012","O'RING 2-008"
"0000501653","1-05-0331-5012","O'RING 2-013"
"0000501653","1-05-0740-5012","O'RING 2-028"
"0000501653","1-05-0763-5012","O'RING 2-023"
"0000501653","1-05-0792-5012","O'RING 2-030"
"0000501653","1-05-0865-5012","O'RING 2-130"
"0000501653","1-05-1027-5012","O'RING 2-202"
"0000501653","1-05-1277-5008","SELLO CONICO PUSH TV-120"
"0000501653","1-05-1283-5012","O'RING 2-222"
"0000501653","1-05-1525-5012","O'RING 2-140"
"0000501653","1-05-1693-5012","O'RING 2-146"
"0000501653","1-05-1872-5012","O'RING 2-163"
"0000501653","1-05-2005-5008","SELLO PORTACARTUCHO 35mnm"
"0000501653","1-06-0018-5012","O'RING 2-028"
"0000501653","1-06-0035-5012","O'RING 2-123"
"0000501653","1-06-0120-5012","O'RING 2-006"
"0000501653","1-06-0223-5012","O'RING 2-110"
"0000501653","1-06-0344-5012","O'RING 2-025"
"0000501653","1-06-0530-5012","O'RING 2-116"
"0000501653","1-06-0616-5012","O'RING 2-132"
"0000501653","1-06-0617-5012","O'RING 2-122"
"0000501653","1-06-0619-5012","O'RING 2-020"
"0000501653","1-06-0847-5012","O'RING 2-208"
"0000501653","1-06-0937-5012","O'RING 2-131"
"0000501653","1-07-0023-5012","O'RING 2-024"
"0000501653","1-07-0054-5012","O'RING 2-227"
"0000501653","1-07-0081-5012","O'RING 2-010"
"0000501653","1-07-0082-5012","O'RING 2-113"
"0000501653","1-07-0198-5012","O'RING 2-037"
"0000501653","1-07-0294-5012","O'RING 2-128"
"0000501653","1-07-0319-5012","O'RING 2-177"
"0000501653","1-07-0323-5012","O'RING 2-157"
"0000501653","1-07-0620-5012","O'RING 2-042"
"0000501653","1-07-0847-5012","O'RING DIDE 3-1.5 N70"
"0000501657","1-05-1620-5019","MAMPARA CORTA DE PLASTICO"
"0000501657","1-05-1621-5019","MAMPARA LARGA DE PLASTICO"
"0000501657","1-05-1625-5019","REDUCTOR DE VELOCIDAD DE PLASTICO"
"0000501657","1-07-0519-5011","BASE ABS TIPO DIAMANTE"
"0000501657","2-05-0585-5M19","CAJON DE INTERCEPTORA DE PLÁSTICO"
"0000501693","0-75-0002-5000","ABS CYCOLAC 5500-4500 NEGRO"
"0000501693","0-75-0008-5000","POLICARBONATO LEXAN 144-111"
"0000501693","0-75-0017-5000","ABS CYCOLAC 5500-2502  BCO."
"0000501693","0-75-0029-5000","ABS CYCOLAC EPBM 3570 GRIS"
"0000501693","0-75-0035-5000","NORYL PPX(TM) PPX630"
"0000501708","1-02-0443-5008","EMPAQUE HULE VAL-VEX II"
"0000501712","MB-1465","LAV OVALIN BCO"
"0000501715","0-80-0248-5000","PERMATEX EN TUBO NO.1"
"0000501715","0-80-1037-5000","CABLE DE ACERO GALVANIZADO"
"0000501715","1-00-0299-5000","CAJA P/FLUXOMETRO OCULTO FCO-110-38"
"0000501715","1-03-0048-5016","TAQUETE PLÁSTICO NO. 6"
